Sl No,District,Teshil/Taluk,Area,Center_Type,Center_Name,Center_Address,Contact No,Pincode,Post_Office,Latitude,Longitude,Altitude
177,Tiruppur,Tiruppur,Tiruppur,Permanent,Tiruppur  Rdo Office,Kumarn Road Tiruppur,9976419619,641601,Tiruppur,11° 6.39' N,77° 20.61' E,295.10m
178,Tiruppur,Tiruppur,Tiruppur,Permanent,Velampalayam,Velampalayam Zone 1 Avinashi Road Anupparpalayam,9095498590,641652,Anuppapalayam,11° 7.81' N,77° 18.69' E,73.10m
179,Tiruppur,Tiruppur,Tiruppur,Permanent,Thottipalayam Zone Office,Pichampalayam Pudur,8012285382,641603,Pichampalayampudur,11° 8.31' N,77° 20.54' E,274.80m
180,Tiruppur,Tiruppur,Tiruppur,Permanent,Corporation Hq,Coporation HQ Office Karuvam Palayam Road,9688128886,641604,Karuvampalayam,11° 6.07' N,77° 20.79' E,297.60m
181,Tiruppur,Udumalaipet,Udumalaipet,Permanent,Udumalaipet Municipality Office,Udumalaipet Municipality Office,9659068377,642126,Udumalaipet,10° 34.95' N,77° 14.67' E,385.90m
182,Tiruppur,Vellakoil(m),Kangeyam,Permanent,Vellakovil Municipal,Karur Main Road,9489215772,638111,Vellakoil,10° 56.95' N,77° 42.10' E,251.60m
183,Tiruvallur,Avadi,Poonamallee,Permanent,Avadi Municipality,Avadi Municipality N M Road,9677235954,600054,Avadi camp,13° 6.93' N,80° 6.21' E,65.60m
184,Tiruvallur,Ayappakkam,Ambattur,Permanent,Thiruverkadu Municipality,Thiruverkadu Municipality,9940503766,600077,Ayapakkam,13° 4.24' N,80° 7.25' E,42.70m
185,Tiruvallur,Poonamallee,Poonamallee,Permanent,Poonthamallee Municipality,Poonthamallee Municipalty Poonthamallee High Road,7601995506,600056,Poonamallee,13° 2.97' N,80° 6.35' E,56.80m
186,Tiruvallur,Thiruvallur,Thiruvallur,Permanent,Thiruvallur Dc Office,Thiruvallur Collector Office,9500505011,602001,Tiruvallur,13° 10.49' N,79° 36.79' E,99.30m
187,Tiruvallur,Thiruvallur,Thiruvallur,Permanent,Thiruvallur Municipal,J N Road Thiruvallur - 602001,8015715455,602001,Tiruvallur,13° 8.53' N,79° 53.68' E,2.20m
188,Tiruvallur,Tiruttani,Tirittani,Permanent,Thiruthani,Thiruthani Municipality,9994326903,631209,Tiruttani,13° 8.02' N,79° 54.52' E,68.20m
189,Tiruvannamalai,Arani,Arani,Permanent,Arani Municipality,"Arani Municipal Fort East Street, Near Govt Hospital & Suriyakulam",9842252679,632301,Arni,12° 40.29' N,79° 16.88' E,1079.00m
190,Tiruvannamalai,Cheyyar,Cheyyar,Permanent,Cheyyar Municipality,"Arcot Road, Near State Bank Of India,Cheyyar",9500143364,604407,Cheyyar,12° 39.92' N,79° 32.43' E,110.60m
191,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,Permanent,Municipality,Sannathi Street Annamalaiyar Temple Near,9489220571,606601,Tiruvannamalai,12° 13.86' N,79° 4.23' E,851.40m
192,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,Permanent,Thiruvannamalai Collerate,"Collcector Office, Vengikal,Thiruvannamalai",9994187146,606603,Sriramanashramam,12° 13.05' N,79° 3.59' E,184.00m
193,Tiruvannamalai,Vandavasi,Vandavasi,Permanent,Vandavasi Municipality,"Municipality Office, Opp Old Bus Stand, Vandavasi",9940700384,604408,Vandavasi,12° 30.44' N,79° 36.22' E,95.70m
194,Vellore,Adukkamparai,Vellore,Permanent,Adukkamparai,Panchayat Office,9688140345,632011,Tb Sanatorium,12° 50.90' N,79° 8.24' E,255.80m
195,Vellore,Ambur,Ambur,Permanent,Ambur Municipality,"Ambur Municipality, Nethaji Road",9171972689,635802,Ambur,12° 47.23' N,78° 43.09' E,316.80m
196,Vellore,Arakonam,Arakonam,Permanent,Arakonam Municipality,"Arakonam To Thiruttani Main Road, Gandhi Nagar",9003538284,631001,Arakkonam,13° 5.52' N,79° 39.60' E,182.20m
197,Vellore,Arcot,Arcot,Permanent,Arcot Municipal,Arcot Municipal Pec Jag Agraharam Street Opp Arcot Po Arcot,9629297821,632503,Arcot,12° 54.63' N,79° 19.65' E,229.10m
198,Vellore,Gudiyatham,Gudiyatham,Permanent,Gudiyatham Municipal,"Gudiyatham Municipal,Pernampet Road,Near Old Bus Stand",8098732387,632602,Gudiyattam,12° 56.68' N,78° 52.22' E,239.00m
199,Vellore,Jolarpet,Tirupathur,Permanent,Jolarpet Municipality,"Jolarpet Municipal Office ,GANDHI Road,Edaiyampatti,Jolarpettai",9787413872,635851,Jolarpettai,12° 34.16' N,78° 34.07' E,410.70m
200,Vellore,Melvisharam,Wallajah,Permanent,Melvisharam,"Melvisharam Municipal Office,Anna Salai Melvisharam",9245264780,632509,Melvisharam,12° 55.64' N,79° 15.94' E,200.40m
201,Vellore,Pernambut,Gudiyatham,Permanent,Pernambut Municipality,"Pernambut Municipality,Gudiyatham Road,Pernambut",8122995958,635810,Pernambut,12° 56.43' N,78° 43.20' E,732.90m
202,Vellore,Ranipet,Wallajah,Permanent,Ranipet Municipal,"Ranipet Municipal,Railway Station Road ,OPPO Govt Boys Higher  Sec School",9843748676,632401,Ranipet,12° 55.78' N,79° 20.02' E,193.50m
203,Vellore,SATHUVACHARI,Vellore,Permanent,Vellore Collector Office,Vellore Collector Office Campus,9600389323,632009,Sathuvachari,12° 56.14' N,79° 9.02' E,232.30m
204,Vellore,SATHUVACHARI,Vellore,Permanent,Sathuvachari Zone-2,Sathuvachari Old Municipal Sathuvachari Bus Stand,9994380619,632009,Sathuvachari,12° 56.13' N,79° 9.30' E,227.50m
205,Vellore,Tirupathur,Tirupathur,Permanent,Tirupathur Municipal,Tirupathur Sakthi Nagar,9600452043,635601,Tirupattur,12° 29.62' N,78° 33.89' E,389.50m
206,Vellore,Vaniyambadi,Vaniyambadi,Permanent,Vaniyambadi Municipality,"Vaniyambadi Municipality Newtown Railway Gate Behind C N A Road,Vaniyambadi",9942197931,635751,Vaniyambadi,12° 40.74' N,78° 36.71' E,529.10m
207,Vellore,Vellore,Vellore,Permanent,Old Municipality,Anna Salai Old Municipality Near Raja Theature,9790370248,632001,Vellore,12° 54.88' N,79° 7.98' E,198.10m
208,Vellore,Vellore,Vellore,Permanent,Vellore Hq,Infantary Road,9500534951,632001,Vellore,12° 54.66' N,79° 7.81' E,180.30m
209,Vellore,Vellore,Vellore,Permanent,Shenpakkamzone4,"Vellore Zone 4, Contonment Road,",9677695060,632001,Vellore,12° 54.65' N,79° 7.79' E,229.20m
210,Vellore,Vellore,Vellore,Permanent,Dharapadavedu Zone 1,Gandhinagar Municipal Viruthampat Police Station Back Side,9344460705,632006,Gandhinagar,12° 57.20' N,79° 8.44' E,234.30m
211,Vellore,Walajapet,Wallajah,Permanent,Walajapet Municipality,"Walajapet Municipality,Mbt Road, Near Walajapet Bus Stand",9790833280,632513,Walajapet,12° 55.52' N,79° 21.85' E,288.30m
212,Villupuram,Kallakkurichi,Kallakkurichi,Permanent,Spr-Elcot,Kallakurichi Municipal Anna Nagar Kallakurichi,9488044885,606202,Kallakurichi,12° 2.48' N,79° 10.01' E,126.10m
213,Villupuram,Tindivanam,Tindivanam,Permanent,Municipality,Tindivanam Municipality Hospital Road Tindivanam,8098626007,604001,Tindivanam,12° 14.04' N,79° 39.17' E,51.80m
